Sequence,Volume,Prim_X_Copy,Prim_Y_Copy,Sec_Length,Sec_Breadth,Sec_Height,Prim_Flap,Prim_Cal,Prim_E1,Prim_E2,Headspace,Sec_Flap,Sec_Caliper,Sec_E1,Sec_E2,TopLoad
109,386.802,2,5,19,15.08,13.5,1.8096,24,3979.13,1437.87,0.75,7.54,3,852,509,1242.46
110,117.96875,2,5,12.5,10,9.4375,1.2,18,3979.13,1437.87,0,4,3.6,465,316,750.32
111,117.96875,2,5,12.5,10,9.4375,1.2,24,3979.13,1437.87,0,5,3,852,509,1087.39
112,117.96875,2,5,12.5,10,9.4375,1.6,18,3979.13,1437.87,0,4,3,852,509,900.24
113,117.96875,2,5,12.5,10,9.4375,1.6,24,3979.13,1437.87,0,4,3,852,509,1165.29
114,117.96875,2,5,12.5,10,9.4375,1.6,18,3979.13,1437.87,0,5,3,852,509,849.07
115,117.96875,2,5,12.5,10,9.4375,1.6,24,3979.13,1437.87,0,5,3,852,509,1090.99
116,258.9743059,2,5,15.312,13.2,12.813,1.584,24,3979.13,1437.87,0,6.6,3,852,509,1261.54
117,258.9743059,2,5,15.312,13.2,12.813,2.112,18,3979.13,1437.87,0,4,3,852,509,935.34
118,258.9743059,2,5,15.312,13.2,12.813,2.112,24,3979.13,1437.87,0,4,3,852,509,1242.86
119,258.9743059,2,5,15.312,13.2,12.813,2.112,18,3979.13,1437.87,0,6.6,3.6,465,316,866.93
120,258.9743059,2,5,15.312,13.2,12.813,2.112,18,3979.13,1437.87,0,6.6,3,852,509,956.68
121,258.9743059,2,5,15.312,13.2,12.813,2.112,24,3979.13,1437.87,0,6.6,3.6,465,316,1134.79
122,386.802,2,5,19,15.08,13.5,1.8096,18,3979.13,1437.87,0,7.54,3,852,509,1039.45
123,386.802,2,5,19,15.08,13.5,1.8096,24,3979.13,1437.87,0,7.54,3.6,465,316,1233.43
124,386.802,2,5,19,15.08,13.5,1.8096,24,3979.13,1437.87,0,7.54,3,852,509,1347.68
125,386.802,2,5,19,15.08,13.5,2.4128,24,3979.13,1437.87,0,4,3,852,509,1280.06
126,386.802,2,5,19,15.08,13.5,2.4128,24,3979.13,1437.87,0,7.54,3,852,509,1279.73
127,117.96875,2,6,12.5,12,9.4375,1.2,18,5029.93,1050,0.75,4,3.6,465,316,699.02
128,117.96875,2,6,12.5,12,9.4375,1.2,18,5029.93,1050,0.75,4,3,852,509,878.48
129,117.96875,2,6,12.5,12,9.4375,1.2,24,5029.93,1050,0.75,4,3.6,465,316,935.14
130,117.96875,2,6,12.5,12,9.4375,1.2,24,5029.93,1050,0.75,4,3,852,509,1154.48
131,117.96875,2,6,12.5,12,9.4375,1.6,18,5029.93,1050,0.75,4,3.6,465,316,763.56
132,117.96875,2,6,12.5,12,9.4375,1.6,18,5029.93,1050,0.75,4,3,852,509,860.62
133,117.96875,2,6,12.5,12,9.4375,1.6,18,5029.93,1050,0.75,6,3.6,465,316,773.04
134,258.9743059,2,6,15.312,15.84,12.813,1.584,18,5029.93,1050,0.75,4,3.6,465,316,785.56
135,258.9743059,2,6,15.312,15.84,12.813,1.584,18,5029.93,1050,0.75,4,3,852,509,995.92
136,258.9743059,2,6,15.312,15.84,12.813,1.584,24,5029.93,1050,0.75,4,3.6,465,316,1060.16
137,258.9743059,2,6,15.312,15.84,12.813,2.112,18,5029.93,1050,0.75,4,3.6,465,316,886.94
138,258.9743059,2,6,15.312,15.84,12.813,2.112,18,5029.93,1050,0.75,4,3,852,509,994.23
139,258.9743059,2,6,15.312,15.84,12.813,2.112,18,5029.93,1050,0.75,7.92,3.6,465,316,901.47
140,386.802,2,6,19,18.096,13.5,1.8096,18,5029.93,1050,0.75,4,3.6,465,316,714.5
141,386.802,2,6,19,18.096,13.5,1.8096,18,5029.93,1050,0.75,4,3,852,509,718.93
142,386.802,2,6,19,18.096,13.5,1.8096,24,5029.93,1050,0.75,4,3,852,509,1034.35
143,386.802,2,6,19,18.096,13.5,2.4128,18,5029.93,1050,0.75,4,3.6,465,316,923.96
144,386.802,2,6,19,18.096,13.5,2.4128,18,5029.93,1050,0.75,4,3,852,509,1008.8
145,386.802,2,6,19,18.096,13.5,2.4128,18,5029.93,1050,0.75,9.048,3.6,465,316,973.98
146,117.96875,2,6,12.5,12,9.4375,1.2,18,5029.93,1050,0,4,3.6,465,316,702.97
147,117.96875,2,6,12.5,12,9.4375,1.2,18,5029.93,1050,0,4,3,852,509,806.16
148,117.96875,2,6,12.5,12,9.4375,1.6,24,5029.93,1050,0,4,3,852,509,1245.76
149,258.9743059,2,6,15.312,15.84,12.813,1.584,18,5029.93,1050,0,4,3.6,465,316,802.84
150,258.9743059,2,6,15.312,15.84,12.813,1.584,18,5029.93,1050,0,4,3,852,509,930.64
151,258.9743059,2,6,15.312,15.84,12.813,2.112,24,5029.93,1050,0,4,3,852,509,1438.25
152,386.802,2,6,19,18.096,13.5,1.8096,18,5029.93,1050,0,4,3.6,465,316,853.3
153,386.802,2,6,19,18.096,13.5,1.8096,18,5029.93,1050,0,4,3,852,509,980.92
154,386.802,2,6,19,18.096,13.5,1.8096,24,5029.93,1050,0,9.048,3,852,509,1536.27
155,117.96875,2,6,12.5,12,9.4375,1.2,24,3979.13,1437.87,0.75,6,3,852,509,1268.46
156,258.9743059,2,6,15.312,15.84,12.813,1.584,18,3979.13,1437.87,0.75,4,3.6,465,316,852.32
157,258.9743059,2,6,15.312,15.84,12.813,1.584,24,3979.13,1437.87,0.75,7.92,3,852,509,1423.48
158,386.802,2,6,19,18.096,13.5,1.8096,18,3979.13,1437.87,0.75,4,3,852,509,726.96
159,386.802,2,6,19,18.096,13.5,1.8096,24,3979.13,1437.87,0.75,9.048,3,852,509,1576.85
160,117.96875,2,6,12.5,12,9.4375,1.2,18,3979.13,1437.87,0,4,3.6,465,316,720.76
161,117.96875,2,6,12.5,12,9.4375,1.2,24,3979.13,1437.87,0,6,3,852,509,1318.49
162,117.96875,2,6,12.5,12,9.4375,1.6,18,3979.13,1437.87,0,4,3,852,509,995.25
163,117.96875,2,6,12.5,12,9.4375,1.6,24,3979.13,1437.87,0,4,3,852,509,1337.21
164,117.96875,2,6,12.5,12,9.4375,1.6,18,3979.13,1437.87,0,6,3.6,465,316,907.78
165,117.96875,2,6,12.5,12,9.4375,1.6,18,3979.13,1437.87,0,6,3,852,509,987.57
166,117.96875,2,6,12.5,12,9.4375,1.6,24,3979.13,1437.87,0,6,3.6,465,316,1251.19
167,117.96875,2,6,12.5,12,9.4375,1.6,24,3979.13,1437.87,0,6,3,852,509,1310.97
168,258.9743059,2,6,15.312,15.84,12.813,1.584,24,3979.13,1437.87,0,7.92,3,852,509,1502.03
169,258.9743059,2,6,15.312,15.84,12.813,2.112,18,3979.13,1437.87,0,4,3,852,509,1125.93
170,258.9743059,2,6,15.312,15.84,12.813,2.112,24,3979.13,1437.87,0,4,3,852,509,1502.04
171,258.9743059,2,6,15.312,15.84,12.813,2.112,18,3979.13,1437.87,0,7.92,3.6,465,316,1004.87
172,258.9743059,2,6,15.312,15.84,12.813,2.112,18,3979.13,1437.87,0,7.92,3,852,509,1084.48
173,258.9743059,2,6,15.312,15.84,12.813,2.112,24,3979.13,1437.87,0,7.92,3.6,465,316,1444.51
174,386.802,2,6,19,18.096,13.5,1.8096,18,3979.13,1437.87,0,9.048,3,852,509,1207.39
175,386.802,2,6,19,18.096,13.5,1.8096,24,3979.13,1437.87,0,9.048,3.6,465,316,1533.75
176,386.802,2,6,19,18.096,13.5,1.8096,24,3979.13,1437.87,0,9.048,3,852,509,1633.77
177,386.802,2,6,19,18.096,13.5,2.4128,24,3979.13,1437.87,0,4,3,852,509,1563.57
178,386.802,2,6,19,18.096,13.5,2.4128,24,3979.13,1437.87,0,9.048,3,852,509,1575.86
179,117.96875,2,7,12.5,14,9.4375,1.2,18,5029.93,1050,0.75,4,3.6,465,316,730.82
180,117.96875,2,7,12.5,14,9.4375,1.2,18,5029.93,1050,0.75,4,3,852,509,918.44
181,117.96875,2,7,12.5,14,9.4375,1.2,24,5029.93,1050,0.75,4,3.6,465,316,977.68
182,117.96875,2,7,12.5,14,9.4375,1.2,24,5029.93,1050,0.75,4,3,852,509,1206.99
183,117.96875,2,7,12.5,14,9.4375,1.6,18,5029.93,1050,0.75,4,3.6,465,316,798.29
184,117.96875,2,7,12.5,14,9.4375,1.6,18,5029.93,1050,0.75,4,3,852,509,899.76
185,117.96875,2,7,12.5,14,9.4375,1.6,18,5029.93,1050,0.75,7,3.6,465,316,808.2
186,258.9743059,2,7,15.312,18.48,12.813,1.584,18,5029.93,1050,0.75,4,3.6,465,316,821.29
187,258.9743059,2,7,15.312,18.48,12.813,1.584,18,5029.93,1050,0.75,4,3,852,509,1041.23
188,258.9743059,2,7,15.312,18.48,12.813,1.584,24,5029.93,1050,0.75,4,3.6,465,316,1108.38
189,258.9743059,2,7,15.312,18.48,12.813,2.112,18,5029.93,1050,0.75,4,3.6,465,316,927.28
190,258.9743059,2,7,15.312,18.48,12.813,2.112,18,5029.93,1050,0.75,4,3,852,509,1039.45
191,258.9743059,2,7,15.312,18.48,12.813,2.112,18,5029.93,1050,0.75,9.24,3.6,465,316,942.47
192,386.802,2,7,19,21.112,13.5,1.8096,18,5029.93,1050,0.75,4,3.6,465,316,747
193,386.802,2,7,19,21.112,13.5,1.8096,18,5029.93,1050,0.75,4,3,852,509,751.63
194,386.802,2,7,19,21.112,13.5,1.8096,24,5029.93,1050,0.75,4,3,852,509,1081.4
195,386.802,2,7,19,21.112,13.5,2.4128,18,5029.93,1050,0.75,4,3.6,465,316,965.99
196,386.802,2,7,19,21.112,13.5,2.4128,18,5029.93,1050,0.75,4,3,852,509,1054.69
197,386.802,2,7,19,21.112,13.5,2.4128,18,5029.93,1050,0.75,10.556,3.6,465,316,1018.28
198,117.96875,2,7,12.5,14,9.4375,1.2,18,5029.93,1050,0,4,3.6,465,316,734.94
199,117.96875,2,7,12.5,14,9.4375,1.2,18,5029.93,1050,0,4,3,852,509,842.82
200,117.96875,2,7,12.5,14,9.4375,1.6,24,5029.93,1050,0,4,3,852,509,1302.43
201,258.9743059,2,7,15.312,18.48,12.813,1.584,18,5029.93,1050,0,4,3.6,465,316,839.36
202,258.9743059,2,7,15.312,18.48,12.813,1.584,18,5029.93,1050,0,4,3,852,509,972.97
203,258.9743059,2,7,15.312,18.48,12.813,2.112,24,5029.93,1050,0,4,3,852,509,1503.67
204,386.802,2,7,19,21.112,13.5,1.8096,18,5029.93,1050,0,4,3.6,465,316,892.12
205,386.802,2,7,19,21.112,13.5,1.8096,18,5029.93,1050,0,4,3,852,509,1025.54
206,386.802,2,7,19,21.112,13.5,1.8096,24,5029.93,1050,0,10.556,3,852,509,1606.15
207,117.96875,2,7,12.5,14,9.4375,1.2,24,3979.13,1437.87,0.75,7,3,852,509,1326.16
208,258.9743059,2,7,15.312,18.48,12.813,1.584,18,3979.13,1437.87,0.75,4,3.6,465,316,891.09
209,258.9743059,2,7,15.312,18.48,12.813,1.584,24,3979.13,1437.87,0.75,9.24,3,852,509,1488.23
210,386.802,2,7,19,21.112,13.5,1.8096,18,3979.13,1437.87,0.75,4,3,852,509,760.02
211,386.802,2,7,19,21.112,13.5,1.8096,24,3979.13,1437.87,0.75,10.556,3,852,509,1648.58
212,117.96875,2,7,12.5,14,9.4375,1.2,18,3979.13,1437.87,0,4,3.6,465,316,753.55
213,117.96875,2,7,12.5,14,9.4375,1.2,24,3979.13,1437.87,0,7,3,852,509,1378.47
214,117.96875,2,7,12.5,14,9.4375,1.6,18,3979.13,1437.87,0,4,3,852,509,1040.52
215,117.96875,2,7,12.5,14,9.4375,1.6,24,3979.13,1437.87,0,4,3,852,509,1398.03
216,117.96875,2,7,12.5,14,9.4375,1.6,18,3979.13,1437.87,0,7,3.6,465,316,949.07
217,117.96875,2,7,12.5,14,9.4375,1.6,18,3979.13,1437.87,0,7,3,852,509,1032.49
218,117.96875,2,7,12.5,14,9.4375,1.6,24,3979.13,1437.87,0,7,3.6,465,316,1308.1
